,Location,Building Model,Overlay District,Improvements,Land,Total
4519,106 GLEASON RD,Residential,,11.38211382113821,10.044313146233383,10.400866738894909
10255,54 SIMONDS RD,Residential,,-1.092896174863388,9.982788296041308,5.70221752903907
8451,27 NORMANDY RD,Residential,,11.74785100286533,10.09009009009009,10.730088495575222
8690,4 OLD SHADE ST,Residential,,15.719063545150503,10.021321961620469,12.239583333333332
2820,28 DEMAR RD,Residential,,21.804511278195488,10.032362459546926,13.574660633484163
9958,41 SCHOOL ST,Residential,,15.217391304347828,9.724770642201836,11.938663745892661
9131,32 PHILIP RD,Residential,,17.252396166134183,10.06825938566553,12.569521690767518
11857,9 WESTWOOD RD,Residential,,11.78082191780822,10.053859964093357,10.737527114967461
1332,10 BLUEBERRY LN,Residential,,20.652173913043477,10.0,13.245033112582782
8922,8 PATTERSON RD,Residential,,22.082018927444793,9.821428571428571,14.253135689851767
1343,2 BLUEBERRY LN,Residential,,20.4,9.767441860465116,12.737430167597767
8966,2 PAYSON ST,Residential,,-1.1389521640091116,10.097087378640776,4.926624737945493
4405,70 FREEMONT ST,Residential,,14.18918918918919,10.0,11.383928571428571
8639,40 OAK ST,Residential,,11.965811965811966,10.126582278481013,10.84070796460177
7612,440 MASSACHUSETTS AVE,Residential,VO,18.76606683804627,10.16949152542373,14.0534262485482
11434,107 WALTHAM ST,Residential,,11.170212765957446,9.96376811594203,10.452586206896552
9777,3 ROLFE RD,Residential,,18.545454545454547,9.886547811993516,12.556053811659194
8283,23 MORELAND AVE,Residential,,23.1023102310231,10.152284263959391,14.541387024608502
5290,9 HENDERSON RD,Residential,,15.942028985507244,10.0,11.790393013100436
10264,128 SIMONDS RD,Residential,,14.6875,10.084033613445378,11.693989071038251
2374,CONCORD AVE, ,VO,,6.408952187182096,6.408952187182096
4967,11 HANCOCK ST,Residential,,-1.1278195488721803,10.074074074074074,6.9075451647183845
6899,472 LOWELL ST,Residential,,15.839243498817968,10.0,12.705366922234393
11860,15 WESTWOOD RD,Residential,,20.303030303030305,10.03584229390681,13.85135135135135
9731,6 ROBINSON RD #3,Res Condo,,4.126679462571977,,4.126679462571977
3013,49 DOWNING RD,Residential,,11.600000000000001,9.880239520958083,10.348583877995644
4313,48 FOREST ST,Residential,,15.789473684210526,10.013351134846461,11.08695652173913
11084,38 TYLER RD,Residential,,20.0,9.936908517350158,12.823397075365579
3340,19 ELDRED ST,Residential,,12.731481481481483,10.121457489878543,11.339092872570195
8998,19 PEACOCK FARM RD,Residential,,22.064056939501782,10.132890365448505,13.929784824462061
2824,23 DEMAR RD,Residential,,22.265625,9.794628751974724,13.385826771653544
2895,63 DEXTER RD,Residential,,15.737704918032788,10.0,11.912568306010929
6002,145 LACONIA ST,Residential,,15.081967213114755,9.983633387888707,11.681222707423581
11451,50 WALTHAM ST #212,Res Condo,,5.47024952015355,,5.47024952015355
2505,562 CONCORD AVE,Residential,,17.58957654723127,8.983050847457626,11.928651059085842
12190,124 WOBURN ST,Residential,,11.434977578475337,9.896907216494846,10.633727175080558
1573,8 BROWN RD,Residential,,20.54263565891473,10.0,13.063063063063062
4870,GROVE ST, ,,,6.054490413723512,6.054490413723512
174,55 ALBEMARLE AVE,Residential,,17.16171617161716,10.06825938566553,12.4859392575928
3827,21 FAIRBANKS RD,Residential,,19.798657718120804,10.06825938566553,13.34841628959276
2497,546 CONCORD AVE,Residential,,22.437673130193904,9.980430528375733,15.137614678899084
2527,15 CONSTITUTION RD,Residential,,20.155038759689923,9.968354430379748,12.921348314606742
11763,21 WEBSTER RD,Residential,,11.842105263157894,10.0,10.804597701149426
7436,9 MARSHALL RD,Residential,,18.84057971014493,10.032362459546926,12.751677852348994
8139,8 MIDDLE ST,Residential,,11.452513966480447,10.0,10.560344827586206
5565,4 HOLMES RD,Residential,,20.27972027972028,10.0,13.31828442437923
4809,18 GREY OAKS CIR,Res Condo,,5.396825396825397,,5.396825396825397
4483,6 GERARD TER,Residential,,15.492957746478872,9.946714031971581,12.091503267973856
10049,34 SHADE ST,Residential,,17.449664429530202,9.983361064891847,12.458286985539488
2679,19 CRESCENT RD,Residential,,15.249266862170089,10.08695652173913,12.008733624454148
9021,32 PEACOCK FARM RD,Residential,,22.112211221122113,10.0,14.156285390713478
11870,4 WHEELER RD,Residential,,21.245421245421245,10.01589825119237,13.414634146341465
5614,37 HOMESTEAD ST,Residential,,11.74934725848564,9.869646182495345,10.652173913043478
3901,25 FAIRLAWN LN,Residential,,14.930555555555555,10.01589825119237,11.559432933478735
10266,1 SKYVIEW RD,Residential,,14.763231197771587,10.035211267605634,11.86623516720604
5200,5 HAWTHORNE RD,Residential,,12.53731343283582,10.152284263959391,11.01511879049676
12570,6 YORK ST,Residential,,11.363636363636363,9.850746268656717,10.224719101123595
1374,22 BOW ST,Residential,,11.643835616438356,9.939148073022313,10.741138560687432
2216,43 CIRCLE RD,Residential,,10.899182561307901,10.070671378091872,10.39657020364416
11094,15 UTICA ST,Residential,,11.080332409972298,9.965034965034965,10.39657020364416
12039,35 WINCHESTER DR,Residential,,20.34383954154728,10.070671378091872,13.989071038251366
2357,15 COLUMBUS ST,Residential,,11.241217798594848,9.900990099009901,10.515021459227468
8194,4 MILK ST,Residential,,11.78082191780822,9.94475138121547,10.682819383259911
9025,31 PEACOCK FARM RD,Residential,,22.295081967213115,10.051993067590988,14.285714285714285
11936,6 WHITTIER RD,Residential,,17.22972972972973,9.968354430379748,12.284482758620689
8781,19 OXBOW RD,Residential,,14.83375959079284,10.056925996204933,12.091503267973856
516,2 BARRETT RD,Residential,,17.220543806646525,10.053859964093357,12.725225225225225
8642,86 OAK ST,Residential,,11.498973305954825,10.068649885583524,10.822510822510822
