,Location,Building Model,Overlay District,Improvements,Land,Total
3821,33 FAIRBANKS RD,Residential,,13.15468940316687,9.969325153374232,11.744738628649015
4249,207 FOLLEN RD,Residential,,7.521367521367521,10.054054054054054,9.072847682119205
11049,15 TURNING MILL RD,Residential,,12.781954887218044,10.014727540500736,11.509817197020988
6283,60 LIBERTY AVE,Residential,,5.34045393858478,10.0,7.7174623937213855
7161,42 MAPLE ST,Residential,,28.74493927125506,10.174880763116057,20.21897810218978
7480,2 MASON ST,Residential,,12.8428927680798,10.089020771513352,11.585365853658537
11384,32 WACHUSETT DR,Residential,,14.446002805049089,10.066225165562914,12.193460490463215
10525,2 SPRINGDALE RD,Residential,,14.186046511627906,10.031847133757962,12.432795698924732
8939,63 PAUL REVERE RD,Residential,,5.448717948717949,9.983361064891847,7.221860767729344
7279,280 MARRETT RD,Residential,,14.915254237288137,10.12216404886562,13.031550068587105
12128,10 WINTHROP RD,Residential,,5.507745266781412,9.989373007438896,8.278580814717477
5663,17 IDYLWILDE RD,Residential,,14.854517611026033,9.914320685434516,12.108843537414966
497,13 BARBERRY RD,Residential,,13.050570962479608,10.023041474654377,11.276164753544903
8433,28 NICKERSON RD,Residential,,14.09295352323838,10.049627791563276,11.880515953835708
4267,7 FOREST ST,Residential,,5.515239477503629,10.023866348448687,7.989521938441388
4270,24 FOREST ST,Residential,,5.459770114942529,9.975961538461538,7.918848167539267
11718,5 WATSON RD,Residential,,6.531204644412192,9.975961538461538,8.4155161078238
9263,3 PLYMOUTH RD,Residential,,6.4083457526080485,10.023866348448687,8.416169648774023
7433,2 MARSHALL RD,Residential,,16.222760290556902,9.872611464968154,13.480055020632737
8975,8 PEACHTREE RD,Residential,,8.482676224611708,9.925925925925926,9.126984126984127
7941,2195 MASSACHUSETTS AVE,Residential,,5.4563492063492065,9.925093632958802,7.003891050583658
6443,202 LINCOLN ST,Residential,,19.92924528301887,10.08695652173913,15.95221363316936
12144,39 WINTHROP RD,Residential,,7.3584905660377355,10.081466395112017,9.126984126984127
2740,11 CUTLER FARM RD,Residential,,16.19047619047619,9.9510603588907,13.558155540261527
1098,23 BERTWELL RD,Residential,,6.550802139037433,9.922680412371134,8.267716535433072
2196,13 CIDER MILL LN,Residential,,16.152897657213316,9.937888198757763,13.402061855670103
1839,975 CAMBRIDGE/CONCORD,Residential,,6.60486674391657,9.939759036144578,8.055009823182711
5019,90B HANCOCK ST,Residential,,13.053097345132745,9.965034965034965,11.856368563685638
3272,86 EAST ST,Residential,,108.39328537170263,9.985935302390999,46.36524822695036
4785,11 GREENWOOD ST,Residential,,16.27906976744186,9.956076134699854,13.315030885380919
